emne_id;emne_navn;emne_navn_eng;studiepoeng;emne_utbytte;emne_innhold;faculty_code;contains_description
BE-906;Grunnleggende regnskapsregler og forretningsjuss;Principal accounting rules and business law;10;['Etter fullført emne skal studenten', '- kjenne til hovedtrekkene ved norsk regnskapslovgivning inkludert IFRS'];['Emnet gir en innføring i', '- finansregnskapets formål og innhold, inklusive vurderingsregler, kontantstrømoppstilling og grunnleggende regnskapsanalyse'];HH;True
BE-911;Grunnleggende bedriftsøkonomi;Basic business economics;7.5;['Etter å ha gjennomført studiet skal studenten:', ['Ha grunnleggende kunnskaper og sentrale økonomiske begreper og problemstillinger', 'Ha god kunnskap om sentrale problemstillinger og viktige begreper knyttet til finansiell rapportering', 'Kunne gjennomføre enkel økonomisk analyse av bedriften', 'Kunne trekke selvstendige konklusjoner basert på økonomiske analyser og vurdere konsekvensene av beslutningene', 'Kunne identifisere resursløsning og iverksette korrektive tiltak', 'Kunne implementere enkle evalueringssystemer', 'Kunne forstå hvordan digitale verktøy bidrar til økt lønnsomhet']];['Emnet gir en innføring i', ['Sentrale økonomiske begreper og sammenhenger', 'Sammenhengen mellom de ulike elementene i finansiell rapportering', 'Hvordan tolke og leser finansielle rapporter', 'Stryke din evne til å fatte lønnsomme og ansvarlige beslutninger', 'Lære hvordan lønnsomhet og likviditet kan følges opp på en effektiv måte', 'Målstyring og effektiv budsjettoppfølgning', 'Skybaserte systemer og digitale verktøy i økonomistyringen']];HH;True
BE-912;Bærekraft og lønnsomhet;Sustainability and profitable businesses;7.5;['Etter fullført emne skal studentene:', '', ['kjenne til begrepet bærekraft', 'ha kunnskap om lønnsomme bærekraftstrategier', 'ha kjennskap til metoder for å kartlegge bedrifters bærekraft'], 'ha kjennskap til sentrale strategiverktøy for lønnsom bærekraft', ['kunne sette riktig ambisjonsnivå og fokus i egen bedrift/organisasjon', 'ha praktisk erfaring med å utvikle en konkret bærekraftstrategi']];['Emnet skal gi faglig innsikt i feltet bærekraft, samt introduksjon og erfaring med praktiske verktøy. Deltakerne på emnet kan velge å analysere egen bedrift/arbeidsgiver i øvelser der deltakerne kartlegger en bedrifts bærekraftarbeid og foreslår en bedrifts/organisasjons fremtidige bærekraftstrategi. På denne måten kan deltakelse på kurset brukes direkte i bedriften/organisasjonen.', '', 'Kurset bygger på det ledende kompetanse- og forretningsutviklingsprogrammet for lønnsom bærekraft,', '', 'GPS er utviklet basert på omfattende norsk og internasjonal forskning, og utarbeidet i samarbeid mellom ledende bedrifter i Agder. Sentrale tema er:', '', ['Hva er egentlig bærekraft - og hva er lønnsomhet/konkurransekraft?', 'Hvor moden er din bedrift/organisasjon - og hva er riktig ambisjonsnivå?', 'Hvilke bærekraftsutfordringer bør min bedrift/organisasjon prioritere - og hvorfor?', 'Overordnede markets- og myndighetskrav som finnes (eller som vi vet kommer)', 'Kriterier for å bygge konkurransekraft med bærekraft?', 'Hvordan kan jeg bygge en strategi som kan være lønnsom?', 'Bærekraftige forretningsmodeller', 'Bærekraft og innovasjonsledelse', 'Inspirerende og gjenkjennbare eksempler fra Norge'], 'Anledning til å utvikle/forankre bærekraftstrategi i egen organisasjon'];HH;True
BE-915;ESG-rapportering;ESG-rapportering;10;['Etter fullført emne skal studenten ha:', ['Kunnskap om hvordan ikke-finansielle indikatorer kan påvirke investors verdsettelse av virksomheter', 'Forståelse for betydningen av internasjonale trender som påvirker virksomheters rapportering av ikke-finansiell informasjon', 'God kunnskap om hvordan FNs bærekraftsmål kan påvirke virksomheters vurdering av forsvarlig drift og rapportering av finansiell informasjon', 'Forståelse for hvordan investorer kan anvende ESG*-informasjon ved verdsettelse av virksomheter', 'Kunnskap om EUs krav til ikke-finansiell rapportering, og konsekvenser for selskaper og finansielle produkter.'], '', '* ESG: Environmental, Social and Governance, oversatt til Miljø-, Sosiale- og Forretningsetiske forhold'];['Emnet omfatter gjennomgang av ulike tilnærminger til utarbeidelse av ikke-finansiell informasjon i en finansiell kontekst. Oppmerksomheten vil være rettet mot standardsettende organisasjoner som GRI og SASB, finansielle institusjoner og de rapporterende virksomheter. Interessenters etterspørsel etter, og bruk av beslutningsrelevant ESG-informasjon utgjør samtidig en sentral del av emnet.'];HH;True
BE-916;Bærekraftsrapportering (ESG) og nye rammebetingelser;Bærekraftsrapportering (ESG) og nye rammebetingelser;10;['Etter fullført emne skal studenten kunne:', ['identifisere og oppsummere hvordan internasjonale trender knyttet til bærekraft og grønn industripolitikk påvirker krav til virksomheters rapportering av ikke-finansiell informasjon (ESG)', 'gjøre rede for EUs krav til ESG-rapportering (inkludert EUs taksonomi) og konsekvenser for selskaper og finansielle produkter.', 'sammenligne og drøfte ulike standarder for ESG-rapportering og internasjonal harmonisering av ESG-rapportering', 'forklare hvordan ESG-indikatorer kan påvirke investors verdsettelse av virksomheter']];['I årene som kommer vil mange bransjer formes av en rekke nye reguleringer som samlet sett vil forme virksomheters markedsutsikter i betydelig grad, inkludert reguleringer knyttet til avfall, utslipp, miljømessige og sosiale forhold hos underleverandører og ikke minst i finanssektoren. Dette innebærer samtidig krav om mer omfattende rapportering av ikke-finansiell informasjon om virksomheters aktivitet.', 'Dette emnet gir en oversikt over politiske og regulatorisk trender som ligger bak disse kravene og gir en gjennomgang av ulike tilnærminger til utarbeidelse av ikke-finansiell informasjon i en finansiell kontekst. I tillegg til finansielle institusjoner og EFRAG vil oppmerksomheten være rettet mot standardsettende organisasjoner som ISSB og GRI, og ikke minst rapporterende virksomheter. Interessenters etterspørsel etter, og bruk av beslutningsrelevant ESG-informasjon utgjør også en viktig del av emnet.'];HH;True
EX-604;Philosophies of Social Sciences;Philosophies of Social Sciences;5;[];[];HH;False
IND415;Ledelse og organisasjonsteori;Development and Organizational Learning;7.5;['Etter fullført emne skal studenten kunne:', ['analysere formelle trekk ved organisasjoner, deriblant organisasjonsstruktur, så vel som uformelle trekk, deriblant normer', 'forstå og drøfte mulige positive og negative konsekvenser av sitt eget og andres lederskap, for seg selv, de man leder og omverdenen', 'kunne vurdere konsekvenser av lederskap i relasjon til et bærekraftsperspektiv', 'drøfte sammenhengen mellom situasjon og ulike typer ledelse og hvilken type ledelse som er mest hensiktsmessig i en gitt situasjon', 'redegjøre for sentrale teorier om ledelse']];"['De fleste yrkesaktive tilbinger mange år av sine liv i organisasjoner. Dette emnet gir en grunnleggende innføring i teorier innenfor organisasjon og ledelse. Studenten får et overblikk over fagområdet og innsikt i betingelser for å utøve ledelse på ulike nivå. Analyse av organisasjonstyper og organisatoriske prosesser står sentralt. Studenten får med seg en ""verktøykasse"" med begrep og modeller som er direkte relevante for arbeidslivet.']";HH;True
IND416;Prosjektledelse og innkjøp;Project Management & Procurement;7.5;[];[];HH;False
IND417;Bedriftsøkonomisk analyse 1;Corporate Finance and Economics ;7.5;['Etter fullført emne skal studenten:', ['Ha kunnskap om grunnleggende bedriftsøkonomiske tema', 'Kunne foreta økonomiske beregninger og analyser som skal danne grunnlag for bedriftsøkonomiske beslutninger', 'Kunne anvende og evaluere ulike metoder for kostnadsfordeling og -kalkyler, inkludert aktivitetsbasert kalkulasjon (Activity Based Costing)', 'Kunne identifisere og anvende beslutningsrelevante kostnader', 'Forstå budsjettets rolle i økonomistyringen og kunne utarbeide enkle budsjett', 'Ha inngående kjennskap til ulike metoder som brukes til beregning av lønnsomhet og verdifastsettelse, inkludert momenter som må tas hensyn til', 'Kunne håndtere usikkerhet i forbindelse med økonomiske beslutninger og beregninger, herunder beslutningstakers holdning til risiko', 'Ha kunnskap om bedriftens økonomi i et helhetsperspektiv, herunder etiske problemstillinger og bærekraftsmål, samt viktigheten av god økonomistyring']];['Emnet gir en introduksjon til det bedriftsøkonomiske fagområdet og hvordan virksomheter utarbeider og benytter økonomisk informasjon til beslutninger og styring. Det tar utgangspunkt i forståelse av markedet og markedsteori, og hvordan tilbud og etterspørsel er grunnlag for prisdannelse i markedet. Videre vektlegges bedriftens inntekter og kostnader, hva som påvirker disse, samt metoder for å utarbeide kostnadskalkyler, inkludert ABC-kalkyle, samt beregning av beslutningsrelevante kostnader. Finansregnskapets oppbygging og bruksområder, samt det interne driftsregnskapets rolle i styringen av virksomheten, inngår også i emnet. Videre vektlegges hvordan virksomheter finansieres og hvordan de styrer sin likviditet, samt beregning av effektiv rente og kapitalkostnader. Investeringskalkyler, som inkluderer momenter som skatt, inflasjon, kapitalstruktur og risiko (CAPM), drøftes også. Det samme gjelder diverse sensitivitetsanalyser i forbindelse med risiko i investeringsprosjekter.'];HH;True
IND418;Kontinuerlig forbedring og Lean;Continuous Improvement and Lean;7.5;['Etter fullført emne, skal studenten kunne:', ['anvende Leanprinsipper og -filosofi, og vurdere hvordan de kan operasjonaliseres i ulike kontekster. Eksempelvis endringsprosesser og annet forbedringsarbeid', 'kritisk reflektere over Lean-prinsipper i sammenheng med innovasjon og utvikling', 'identifisere og vurdere verdi for interessenter, samt vurdere kommunikasjonsprosesser i forhold til kontinuerlig forbedringsarbeid', 'identifisere og tolke prosessvariasjon, samt forstå bedtydningen av variasjon i forhold til prosessforbedringsarbeid', 'anvende prosesskartleggingsteknikker og idenifisere forbedringsområder', 'sammenligne og vurdere individuell og organisatorisk læring i forhold til utvikling og forbedringsarbeid', 'kritisk reflektere over sammenhenger mellom menneskelige, teknologiske og organisatoriske forhold med henblikk på forbedringsarbeid']];['Emnet gir en innføring i prosessforbedringsarbeid i ulike kontekster som f.eks. produksjon og utvikling og baserer seg blant annet på Lean tenkning og kvalitetsledelse. Praktisk forbedringsarbeid er sentralt, og det er derfor mulig å utføre forbedringsarbeid for lokale virksomheter som en del av emnets semesteroppgave.', 'Emnet gir en innføring i noen utvalgte prosessforbedringsteknikker og -metoder. Prosesskartleggingsteknikker som verdistrømsanalyser og flytskjema er eksempler på slike teknikker. Utviklings- og forbedringsarbeid er uensartet og dekker en rekke fagfelt, noe som gjenspeiles i sammensetningen av pensum.'];HH;True
IND513;Strategisk økonomistyring;Strategic managerial accounting;7.5;['Etter fullført emne skal studenten:', ['kunne anvende kunnskap om forskjellige strategiske analysemetoder og tilhørende begreper', 'ha avansert kunnskap om strategiske lønnsomhetsanalyser', 'ha inngående kunnskap om oppfølgning og prestasjonsmåling', 'kunne utarbeide ulike strategiske lønnsomhetsanalyser', 'kunne utarbeide bonus og insentivsystemer', 'kunne implementere flerdimensjonal prestasjonsmåling, herunder innarbeide relevante bærekraftsmål i virksomhetens økonomisystem', 'ha øvelse i kritisk diskusjon og analyse av økonomiske styringssystemer']];[['Analyser av lønnsomheten i en bransje', 'Analyser av konkurransefortrinn og variasjon i lønnsomheten innen en bransje', 'Strategisk lønnsomhetsanalyse inklusive aktivitetsbasert kalkulasjon, prestasjonsmåling inklusive balansert målstyring, kapitalkostnad og gjenskaffelsesmodeller.', 'Utforming og bruk av bonus- og incentivsystemer, styringssystemer uten budsjett inklusive Beyond Budgeting, analyser og utforming av systemer for intern handel, kritiske suksessfaktorer ved innføring av økonomiske styringssystemer.', 'Implementering av FNs bærekraftmål i virksomhetens styringssystem']];HH;True
IND514;Strategisk prosjektledelse – interne prosjekt;Project Business and Governance;7.5;['Etter fullført emne skal studenten kunne:', ['Kategorisere ulike type prosjekter og foreslå effektive styringstilnærminger på basis av kategoriseringen.', 'Fremme og kommunisere strategier og praksis av bærekraftige prosjektvalg samt bærekraftig prosjektstyring og -leveranse.', 'Identifisere og analysere kundens behov og matche dem med passende produkter og tjenester (spesielt ifht. bærekraftsmål 12).', 'Velge en passende gjennomføringsmidell for et bestemt prosjekt.', 'Bruke fleksible og valgte avanserte metoder for prosjektutførelse.', 'Kritisk vurdere beslutninger i prosjekter.']];['Modul 1: Prosjektutvikkling og strategiske vurderinger', ['Målhierarki og prosjektsuksess', 'Prosjektmodeller', 'Bærekrafts- og lønnsomhetsvurderinger', 'Interessenthåndtering', 'Prosjektmarkedsføring og salgsprosess (SDG 12)'], 'Modul 2: Anskaffelser og gjennomføringsmodeller', ['Entrepriseformer', 'Samspillsprosjekter', 'Bærekraftige anskaffelser (SDG 11 and 13)', 'Kontrakts- og anskaffelsesteorier'], 'Modul 3: Avanserte metoder innen prosjektledelse', ['Design Structure Matrix (DSM) og samtidig prosjektering', 'Kritisk kjede', 'Smidige metoder (Agile)', 'Modularisering og industrialisering i prosjektvirksomhet (SDG 9)'], ''];HH;True
IND591;Masteroppgave;Master Thesis;30;['Etter å ha bestått masteroppgaven skal studenten kunne', ['planlegge og gjennomføre et selvstendig vitenskapelig arbeid under veiledning', 'formulere presise forskningspørsmål', 'analysere eksisterende teorier innenfor det temaet masteroppgaven omhandler', 'bruke relevante metoder for å samle inn relevant informasjon og data og kjenne til sentrale prinsipper for analyse og diskusjon av et datamateriale', 'gjennomføre et avgrenset forskningsprosjekt under veiledning og i tråd med gjeldende forskningsetiske normer', 'reflektere kritisk over sentrale teorier og egne funn i masteroppgaven', 'formidle innholdet i masteroppgaven både muntlig og skriftlig på en strukturert måte']];['Masteroppgaven skal gi en selvstendig fordypning innenfor et sentralt fagområde i studiet. Oppgaven utgjør et selvstendig vitenskapelig arbeid og skal ha forskningsbasert tilnærming. Arbeidet skal inkludere forskningsspørsmål, teoretisk rammeverk, bruk av metodisk tilnærming og analyse av resultater og konklusjon. Godkjent prosjektskisse skal foreligge før formell oppstart.'];HH;True
ING501;Specialization Project;Specialization Project;15;[];[];HH;False
IN-612;Core Theories in Management;Core Theories in Management;5;['Upon successful completion of the course the student will be able to:', ['Understand what is meant by theory and conceptual framework, and how to apply theory in management research.', 'Develop a basic knowledge and understanding of frequently used theories within management research, including the differences and similarities of the theories.', 'Be able to relate theories to research problems within international management']];['This course examines the most relevant theories to the study of international management. The objective is to develop a basis for understanding and analysing different research problems within international management.', '', 'Topics:', ['Theory, theoretical framework and conceptual framework', 'Resource dependence theory', 'Agency theory', 'Transaction cost theory', 'Relational contracting theory', 'Resource-based theory', 'Summarizing and integrating']];HH;True
IN-618;Theory of Knowledge and Core Theories in Management;Theory of Knowledge and Core Theories in Management;7.5;[];[];HH;False
IN-620;International Business;International Business;7.5;[];[];HH;False
IS-911;Digitalisering og forretningsprosesser ;Digitalisering og forretningsprosesser ;7.5;['Etter fullført emne skal studentene:', ['ha grunnleggende kunnskap om hvordan IKT muliggjør digitalisering i form av nye strategier, omstillinger og nye arbeidsprosesser i virksomheter', 'ha kjennskap til hvilke endringsprosesser teknologien forutsetter eller muliggjør, og hvordan slike prosesser planlegges, ledes og gjennomføres', 'kunne kartlegge behov og potensiale for prosessomlegging relatert til digitalisering av virksomheter', 'ha ferdigheter i å modellere og analysere virksomhetsprosesser ved hjelp av modelleringsverktøy']];['Gjennom teorier og eksempler belyses betydningen av endringer i organisasjonsprosesser i digitaliseringsprosjekter. I tillegg ser man på hvordan IKT er en viktig komponent og katalysator i endringsprosesser i bedrifter, og rollen slike endringer spiller i digitaliseringsarbeidet, for å oppnå og beholde konkurransefortrinn. Emnet inneholder følgende temaer:', ['IKTs rolle i digitalisering.', 'IKTs rolle for endringsprosesser og for nye virksomhetsstrategier, inkludert nye organisasjonsformer, arbeidsprosesser, produkter og tjenester', 'Verktøy for prosessmodellering']];HH;True
JUR100;Examen Facultatum;Examen Facultatum;10;['Etter å ha fullført dette emnet skal studenten', ['ha oversikt over og kunne forklare forholdet mellom rett og samfunn, herunder rettsstatens ide, prinsipper og verdigrunnlag', 'redegjøre for grunnleggende juridisk metode', 'ha oversikt over de sentrale institusjoner i det norske rettssystem'], 'Studenten skal også kunne', ['forklare sammenhengen mellom norsk og internasjonal rett', 'forklare hva som kjennetegner rettsanvendelse', 'drøfte spørsmål knyttet til rettens legitimitet', 'drøfte prinsipielle sider ved rettsutviklingen i et samfunn', 'redegjøre for grunnleggende juridisk metode', 'identifisere juridiske problemstillinger', 'søke etter juridisk kunnskap på egen hånd']];['Emnet gir grunnkunnskap om rettsstaten og det norske rettssystemets oppbygging og funksjon, forståelse av juristers rolle i samfunnet og en introduksjon til juridisk metode. Emnet belyser FNs bærekraftsmål nr. 16 (fred og rettferdighet)'];HH;True
JUR114;Avtalerett;Contract Law;10;['Etter at emnet er gjennomført, skal studenten kunne:', ['formulere avtalerettslige spørsmål innenfor emnene avtalerettslig binding, tolking, ugyldighet, lemping og representasjon på en presis og problematiserende måte', 'identifisere og systematisere relevante avtalerettslige argumenter innenfor emnene avtalerettslig binding, tolking, ugyldighet, lemping og representasjon.', 'foreta en selvstendig analyse av avtalerettslige spørsmål innenfor emnene avtalerettslig binding, tolking, ugyldighet, lemping og representasjon, basert på relevante rettskildefaktorer', 'anvende anerkjent faglig metode til å drøfte, og resonnere seg frem til et faglig forsvarlig standpunkt på, avtalerettslige spørsmål innenfor emnene avtalerettslig binding, tolking, ugyldighet, lemping og representasjon'], 'I tillegg skal studenten ha kunnskap om', ['relevante internasjonale avtalerettslige rettskilder, og da særlig de som har bakgrunn fra EU/EØSretten', 'hovedtrekkene i den internasjonale utviklingen innenfor emnene avtalerettslig binding, tolking, ugyldighet, lemping og representasjon, og forklare hvordan denne utviklingen får betydning for norsk rett']];['Emnet omhandler de rettsreglene som regulerer inngåelse av avtaler, tolkning av avtaler, samt reglene om ugyldighet og lempning av avtaler. Kort og noe upresist kan vi si at temaet for emnet Avtalerett er de rettsreglene som setter oss i stand til å fastlegge om det foreligger en gyldig og bindende avtale mellom to (eller flere) parter, og hva som er det nærmere innholdet i denne avtalen. Det nærmere studiet av innholdet i spesielle kontraktstyper, samt reglene om kontraktsbrudd, er lagt til emnet JUR302 Obligasjonsrett på tredje studieår.'];HH;True
